time,value
1996-04-01,121203.58278402481
1996-05-01,121327.05699883676
1996-06-01,121449.01899961225
1996-07-01,121568.35982939124
1996-08-01,121699.38735944165
1996-09-01,121851.42303218301
1996-10-01,122050.1977510663
1996-11-01,122281.55098875533
1996-12-01,122630.9965102753
1997-01-01,123078.82900348972
1997-02-01,123511.91934858472
1997-03-01,123871.71772004652
1997-04-01,124250.51570376115
1997-05-01,124645.97130670803
1997-06-01,125051.22140364483
1997-07-01,125462.16656327543
1997-08-01,125894.64950372209
1997-09-01,126351.79900744416
1997-10-01,126858.58405707196
1997-11-01,127401.2717121588
1997-12-01,128065.4544044665
1998-01-01,128815.76213366413
1998-02-01,129545.60396960769
1998-03-01,130193.8905256629
1998-04-01,130857.19491394014
1998-05-01,131519.26655295395
1998-06-01,132180.91952240656
1998-07-01,132839.1456039696
1998-08-01,133502.86090866802
1998-09-01,134177.8880446581
1998-10-01,134891.9289812374
1998-11-01,135633.34625523337
1998-12-01,136482.40812529073
1999-01-01,137417.17320514808
1999-02-01,138329.16731276168
1999-03-01,139172.8950224841
1999-04-01,140039.51000155063
1999-05-01,140912.97875639633
1999-06-01,141799.3564893782
1999-07-01,142701.40331834392
1999-08-01,143627.8182663979
1999-09-01,144585.29229337882
1999-10-01,145606.9700728795
1999-11-01,146680.0666770042
1999-12-01,147880.8574972864
2000-01-01,149188.01364552643
2000-02-01,150483.34625523337
2000-03-01,151697.4647232129
2000-04-01,152904.08590479143
2000-05-01,154085.2767870988
2000-06-01,155242.9989145604
2000-07-01,156375.83346255234
2000-08-01,157489.81237401147
2000-09-01,158596.2474802295
2000-10-01,159730.98930066678
2000-11-01,160885.5636532796
2000-12-01,162102.58954876725
2001-01-01,163368.93316793302
2001-02-01,164619.01845247325
2001-03-01,165802.09334780587
2001-04-01,166946.8909908513
2001-05-01,168034.55574507677
2001-06-01,169080.51635912544
2001-07-01,170092.40192277872
2001-08-01,171085.16048999844
2001-09-01,172088.51759962784
2001-10-01,173145.20080632655
2001-11-01,174245.86757636842
2001-12-01,175419.28981237402
2002-01-01,176673.62381764615
2002-02-01,177969.6774693751
2002-03-01,179248.94557295705
2002-04-01,180508.6757636843
2002-05-01,181737.0057373236
2002-06-01,182952.11660722594
2002-07-01,184165.07985734224
2002-08-01,185385.90479144052
2002-09-01,186652.90742750815
2002-10-01,187971.27461621957
2002-11-01,189517.77019692975
2002-12-01,191221.73205148085
2003-01-01,192791.7118933168
2003-02-01,194167.3592805086
2003-03-01,195591.3940145759
2003-04-01,197048.3563343154
2003-05-01,198529.91161420374
2003-06-01,200079.26035044194
2003-07-01,201464.18851387713
2003-08-01,203123.91789036672
2003-09-01,204826.08595371724
2003-10-01,206565.30329822403
2003-11-01,208271.6152840778
2003-12-01,209975.24409933112
2004-01-01,213401.48051549555
2004-02-01,215209.25897514576
2004-03-01,217191.34703896902
2004-04-01,219382.3412089598
2004-05-01,221768.66370052163
2004-06-01,224363.80024547406
2004-07-01,226947.49176686833
2004-08-01,229725.3427280386
2004-09-01,232512.6522172015
2004-10-01,235283.22738760817
2004-11-01,237917.43892165122
2004-12-01,240483.6333001455
2005-01-01,242963.88761643
2005-02-01,245421.12536265078
2005-03-01,247807.6271832812
2005-04-01,250429.75364198003
2005-05-01,253048.74532835025
2005-06-01,255672.85485470216
2005-07-01,257852.8603945372
2005-08-01,260305.9028831563
2005-09-01,262602.966616085
2005-10-01,264718.17147192714
2005-11-01,266559.11229135055
2005-12-01,268156.5098634294
2006-01-01,269190.02041279204
2006-02-01,270434.52029938763
2006-03-01,271631.7910334921
2006-04-01,272773.07779541845
2006-05-01,273719.3316700688
2006-06-01,274418.6058819082
2006-07-01,274628.0742809693
2006-08-01,274735.6382577187
2006-09-01,274649.1733977504
2006-10-01,274450.7058201857
2006-11-01,274139.0428021439
2006-12-01,273878.85558994487
2007-01-01,273585.6238220882
2007-02-01,273366.86769694684
2007-03-01,273077.7157934414
2007-04-01,272713.45646437997
2007-05-01,272132.401055409
2007-06-01,271296.34376177914
2007-07-01,270276.771178776
2007-08-01,269132.2053059994
2007-09-01,267904.3638830268
2007-10-01,266564.0789870365
2007-11-01,265048.31172746455
2007-12-01,263389.5085921013
2008-01-01,261585.77670634323
2008-02-01,259623.30119029683
2008-03-01,257559.39430465573
2008-04-01,255426.91728190446
2008-05-01,253167.74144945006
2008-06-01,250771.15413590477
2008-07-01,248412.61858153893
2008-08-01,246275.9750037645
2008-09-01,244334.4451136877
2008-10-01,242508.23671133866
2008-11-01,240769.3419665713
2008-12-01,239162.88209606986
2009-01-01,237629.3011359362
2009-02-01,236085.5186940495
2009-03-01,234393.68088467614
2009-04-01,232552.5539757767
2009-05-01,230467.6596705033
2009-06-01,228404.1074249605
2009-07-01,226888.57142857142
2009-08-01,225928.38345864663
2009-09-01,225311.3909774436
2009-10-01,224942.31578947368
2009-11-01,224788.22556390977
2009-12-01,224742.93233082705
2010-01-01,224719.68273062175
2010-02-01,225037.5836403278
2010-03-01,224087.65145848916
2010-04-01,223189.229618549
2010-05-01,222636.58937920717
2010-06-01,222547.99551234106
2010-07-01,221712.9121288975
2010-08-01,220801.07414590483
2010-09-01,219724.7501118902
2010-10-01,218636.34939579293
2010-11-01,217497.98597642846
2010-12-01,216231.35909294346
2011-01-01,214711.91007890427
2011-02-01,213477.35596248324
2011-03-01,212468.56483549203
2011-04-01,211695.630489802
2011-05-01,211040.24117909782
2011-06-01,210428.05567961888
2011-07-01,209715.1564706757
2011-08-01,209168.2598676875
2011-09-01,208639.44101687355
2011-10-01,208188.1959414257
2011-11-01,207824.09871404147
2011-12-01,207520.5604697837
2012-01-01,207150.28210838902
2012-02-01,206999.41351150704
2012-03-01,207224.8849294729
2012-04-01,207814.15738678546
2012-05-01,208587.3422420193
2012-06-01,209343.8604305865
2012-07-01,209978.51264180322
2012-08-01,210729.12434195893
2012-09-01,211517.35745532735
2012-10-01,212347.8831467339
2012-11-01,213322.08052198414
2012-12-01,214343.53822199153
2013-01-01,215100.78292340646
2013-02-01,216204.18790161755
2013-03-01,217633.72479503657
2013-04-01,219310.17061821406
2013-05-01,221078.0042839205
2013-06-01,222897.22283772804
2013-07-01,224541.9882179676
2013-08-01,226126.48748159056
2013-09-01,227460.50073637703
2013-10-01,228628.73343151694
2013-11-01,229687.56995581737
2013-12-01,230706.0235640648
2014-01-01,231441.83418928835
2014-02-01,232439.63316214233
2014-03-01,233425.5172413793
2014-04-01,234516.0381511372
2014-05-01,235681.6214233309
2014-06-01,236821.66544387382
2014-07-01,237683.12865497076
2014-08-01,238779.6052631579
2014-09-01,239744.1447368421
2014-10-01,240654.9269005848
2014-11-01,241594.23245614034
2014-12-01,242523.8230994152
2015-01-01,243544.88304093567
2015-02-01,244659.83187134503
2015-03-01,245776.3523391813
2015-04-01,246996.7105263158
2015-05-01,248409.817251462
2015-06-01,249875.5774853801
2015-07-01,251304.28362573098
2015-08-01,252690.38011695907
2015-09-01,253982.44152046784
2015-10-01,255138.53070175438
2015-11-01,256180.05116959065
2015-12-01,257221.30847953216
2016-01-01,258404.43713450292
2016-02-01,259546.57894736843
2016-03-01,260611.49853801169
2016-04-01,261801.90789473685
2016-05-01,263180.7894736842
2016-06-01,264583.47953216376
2016-07-01,266036.22076023393
2016-08-01,267499.55409356725
2016-09-01,268914.91959064326
2016-10-01,270280.48245614034
2016-11-01,271660.3947368421
2016-12-01,273066.23538011697
2017-01-01,274576.48391812865
2017-02-01,276011.8274853801
2017-03-01,277366.5131578947
2017-04-01,278881.73245614034
2017-05-01,280635.4678362573
2017-06-01,282295.1388888889
2017-07-01,283868.6403508772
2017-08-01,285470.2046783626
2017-09-01,287153.34064327483
2017-10-01,288803.77192982455
2017-11-01,290359.7514619883
2017-12-01,292012.1856725146
2018-01-01,293671.54239766084
2018-02-01,295488.3333333333
2018-03-01,297748.2894736842
2018-04-01,299358.91812865494
