,time,value
923,1996-04-01,759100.0
13818,1996-05-01,759500.0
26713,1996-06-01,759900.0
39608,1996-07-01,760400.0
52503,1996-08-01,761100.0
65398,1996-09-01,762300.0
78293,1996-10-01,764300.0
91188,1996-11-01,767000.0
104083,1996-12-01,771000.0
116978,1997-01-01,776000.0
129873,1997-02-01,781300.0
142768,1997-03-01,786000.0
155663,1997-04-01,791100.0
168558,1997-05-01,796300.0
181453,1997-06-01,801600.0
194348,1997-07-01,807000.0
207244,1997-08-01,812600.0
220140,1997-09-01,818300.0
233036,1997-10-01,824500.0
245932,1997-11-01,830900.0
258828,1997-12-01,838200.0
271724,1998-01-01,846000.0
284622,1998-02-01,853300.0
297520,1998-03-01,859900.0
310418,1998-04-01,866600.0
323316,1998-05-01,873200.0
336214,1998-06-01,879800.0
349112,1998-07-01,886300.0
362010,1998-08-01,892800.0
374908,1998-09-01,899100.0
387806,1998-10-01,905800.0
400704,1998-11-01,912600.0
413602,1998-12-01,920000.0
426500,1999-01-01,927800.0
439398,1999-02-01,934900.0
452296,1999-03-01,940900.0
465194,1999-04-01,946400.0
478092,1999-05-01,951700.0
490990,1999-06-01,956900.0
503888,1999-07-01,962300.0
516786,1999-08-01,967900.0
529684,1999-09-01,974200.0
542582,1999-10-01,981500.0
555480,1999-11-01,989800.0
568378,1999-12-01,999600.0
581276,2000-01-01,1010900.0
594174,2000-02-01,1022400.0
607072,2000-03-01,1033700.0
619970,2000-04-01,1045000.0
632868,2000-05-01,1056400.0
645766,2000-06-01,1067600.0
658664,2000-07-01,1078500.0
671562,2000-08-01,1089100.0
684460,2000-09-01,1099300.0
697358,2000-10-01,1109500.0
710256,2000-11-01,1119500.0
723154,2000-12-01,1129800.0
736052,2001-01-01,1140200.0
748950,2001-02-01,1150200.0
761848,2001-03-01,1159200.0
774746,2001-04-01,1167700.0
787644,2001-05-01,1175700.0
800542,2001-06-01,1183700.0
813440,2001-07-01,1192000.0
826338,2001-08-01,1200800.0
839236,2001-09-01,1210700.0
852134,2001-10-01,1222200.0
865032,2001-11-01,1235200.0
877930,2001-12-01,1249900.0
890828,2002-01-01,1265800.0
903726,2002-02-01,1282100.0
916624,2002-03-01,1297900.0
929522,2002-04-01,1313200.0
942420,2002-05-01,1327700.0
955318,2002-06-01,1341800.0
968216,2002-07-01,1355800.0
981114,2002-08-01,1369700.0
994012,2002-09-01,1384100.0
1006910,2002-10-01,1399300.0
1019808,2002-11-01,1416100.0
1032706,2002-12-01,1432800.0
1045604,2003-01-01,1446900.0
1058502,2003-02-01,1458800.0
1071400,2003-03-01,1471600.0
1084298,2003-04-01,1486200.0
1097196,2003-05-01,1503300.0
1110094,2003-06-01,1523300.0
1122995,2003-07-01,1545300.0
1136002,2003-08-01,1567600.0
1149009,2003-09-01,1588700.0
1162016,2003-10-01,1608300.0
1175023,2003-11-01,1626400.0
1188030,2003-12-01,1644800.0
1201040,2004-01-01,1665400.0
1214076,2004-02-01,1689100.0
1227112,2004-03-01,1716000.0
1240148,2004-04-01,1745100.0
1253184,2004-05-01,1774100.0
1266220,2004-06-01,1801500.0
1279256,2004-07-01,1826000.0
1292313,2004-08-01,1847800.0
1305370,2004-09-01,1867900.0
1318427,2004-10-01,1887300.0
1331484,2004-11-01,1905300.0
1344541,2004-12-01,1923300.0
1357599,2005-01-01,1942300.0
1370697,2005-02-01,1962000.0
1383798,2005-03-01,1982900.0
1396909,2005-04-01,2005400.0
1410020,2005-05-01,2028800.0
1423131,2005-06-01,2053500.0
1436243,2005-07-01,2079100.0
1449423,2005-08-01,2103800.0
1462603,2005-09-01,2126900.0
1475783,2005-10-01,2146600.0
1488963,2005-11-01,2161500.0
1502143,2005-12-01,2172100.0
1515323,2006-01-01,2180400.0
1528550,2006-02-01,2186300.0
1541777,2006-03-01,2190200.0
1555004,2006-04-01,2192900.0
1568231,2006-05-01,2195100.0
1581458,2006-06-01,2196300.0
1594685,2006-07-01,2195200.0
1607932,2006-08-01,2191500.0
1621179,2006-09-01,2187500.0
1634426,2006-10-01,2184400.0
1647673,2006-11-01,2181500.0
1660920,2006-12-01,2179100.0
1674167,2007-01-01,2178100.0
1687432,2007-02-01,2175500.0
1700697,2007-03-01,2170500.0
1713962,2007-04-01,2163800.0
1727227,2007-05-01,2155400.0
1740492,2007-06-01,2143900.0
1753757,2007-07-01,2128500.0
1767025,2007-08-01,2108700.0
1780293,2007-09-01,2087200.0
1793561,2007-10-01,2065600.0
1806829,2007-11-01,2044900.0
1820097,2007-12-01,2024500.0
1833365,2008-01-01,2004300.0
1846639,2008-02-01,1979300.0
1859913,2008-03-01,1947600.0
1873187,2008-04-01,1910600.0
1886461,2008-05-01,1873800.0
1899735,2008-06-01,1839500.0
1913009,2008-07-01,1813600.0
1926291,2008-08-01,1796500.0
1939573,2008-09-01,1784600.0
1952855,2008-10-01,1772800.0
1966137,2008-11-01,1762500.0
1979419,2008-12-01,1754200.0
1992701,2009-01-01,1748500.0
2005994,2009-02-01,1740900.0
2019287,2009-03-01,1729200.0
2032580,2009-04-01,1714300.0
2045873,2009-05-01,1698100.0
2059166,2009-06-01,1685100.0
2072459,2009-07-01,1680400.0
2085759,2009-08-01,1681500.0
2099059,2009-09-01,1684700.0
2112359,2009-10-01,1689100.0
2125659,2009-11-01,1694600.0
2138959,2009-12-01,1703000.0
2152260,2010-01-01,1703200.0
2165561,2010-02-01,1702500.0
2178863,2010-03-01,1703100.0
2192233,2010-04-01,1706300.0
2205603,2010-05-01,1707500.0
2218973,2010-06-01,1705600.0
2232343,2010-07-01,1694000.0
2245749,2010-08-01,1687300.0
2259155,2010-09-01,1684800.0
2272561,2010-10-01,1682500.0
2285967,2010-11-01,1678800.0
2299373,2010-12-01,1672400.0
2312779,2011-01-01,1665000.0
2326213,2011-02-01,1660000.0
2339647,2011-03-01,1656900.0
2353081,2011-04-01,1653600.0
2366515,2011-05-01,1651200.0
2379949,2011-06-01,1654300.0
2393383,2011-07-01,1659600.0
2406836,2011-08-01,1660400.0
2420289,2011-09-01,1657900.0
2433742,2011-10-01,1656300.0
2447195,2011-11-01,1652200.0
2460648,2011-12-01,1645900.0
2474101,2012-01-01,1647400.0
2487571,2012-02-01,1657000.0
2501041,2012-03-01,1671600.0
2514511,2012-04-01,1694700.0
2527981,2012-05-01,1723800.0
2541451,2012-06-01,1749500.0
2554921,2012-07-01,1771100.0
2568408,2012-08-01,1789200.0
2581895,2012-09-01,1804500.0
2595382,2012-10-01,1827300.0
2608869,2012-11-01,1860400.0
2622356,2012-12-01,1895000.0
2635844,2013-01-01,1926400.0
2649383,2013-02-01,1961000.0
2662922,2013-03-01,2004600.0
2676461,2013-04-01,2052100.0
2690000,2013-05-01,2107400.0
2703539,2013-06-01,2163300.0
2717080,2013-07-01,2213500.0
2730660,2013-08-01,2255700.0
2744240,2013-09-01,2289100.0
2757820,2013-10-01,2310400.0
2771400,2013-11-01,2327800.0
2784980,2013-12-01,2341800.0
2798561,2014-01-01,2351300.0
2812191,2014-02-01,2367200.0
2825821,2014-03-01,2389200.0
2839451,2014-04-01,2409000.0
2853081,2014-05-01,2422500.0
2866711,2014-06-01,2436500.0
2880341,2014-07-01,2456200.0
2894021,2014-08-01,2472600.0
2907701,2014-09-01,2488800.0
2921381,2014-10-01,2502400.0
2935061,2014-11-01,2514100.0
2948741,2014-12-01,2530300.0
2962421,2015-01-01,2558800.0
2976101,2015-02-01,2586900.0
2989781,2015-03-01,2610700.0
3003461,2015-04-01,2631900.0
3017141,2015-05-01,2651400.0
3030821,2015-06-01,2673900.0
3044501,2015-07-01,2695000.0
3058181,2015-08-01,2712100.0
3071861,2015-09-01,2731700.0
3085541,2015-10-01,2759900.0
3099221,2015-11-01,2792000.0
3112901,2015-12-01,2827700.0
3126581,2016-01-01,2858000.0
3140261,2016-02-01,2871100.0
3153941,2016-03-01,2878000.0
3167621,2016-04-01,2892200.0
3181301,2016-05-01,2906700.0
3194981,2016-06-01,2918300.0
3208661,2016-07-01,2935900.0
3222341,2016-08-01,2969000.0
3236021,2016-09-01,3004200.0
3249701,2016-10-01,3024900.0
3263381,2016-11-01,3037800.0
3277061,2016-12-01,3057800.0
3290741,2017-01-01,3081700.0
3304421,2017-02-01,3102800.0
3318101,2017-03-01,3120600.0
3331781,2017-04-01,3136500.0
3345461,2017-05-01,3150400.0
3359141,2017-06-01,3160100.0
3372821,2017-07-01,3170900.0
3386501,2017-08-01,3189500.0
3400181,2017-09-01,3222600.0
3413861,2017-10-01,3253800.0
3427541,2017-11-01,3265800.0
3441221,2017-12-01,3269200.0
3454901,2018-01-01,3284900.0
3468581,2018-02-01,3306900.0
3482261,2018-03-01,3324300.0
3495941,2018-04-01,3326400.0
